Symbol,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL,AAPL,AAPL,AAPL,AAPL,Indicators,Indicators,Indicators,Indicators
Value,Open,High,Low,Close,Volume,Spread,LB,SS,LS,SB,Env_L,Env_H,Wick,StDv*2
Datetime,,,,,,,,,,,,,,
2020-08-14 11:40:00-04:00,455.8,456.15,455.2,455.31,412470,0.0,,,,,453.1215414799904,456.4860787069381,0.9499999999999886,0.9998115012214462
2020-08-14 11:45:00-04:00,455.33,456.19,454.72,455.17,488467,0.0,,,,,453.19654229141986,456.53441406818206,1.4699999999999704,1.0012988716560827
2020-08-14 11:50:00-04:00,455.1,455.33,454.57,454.72,326523,0.0,,,,,453.1829049303323,456.56378891883134,0.7599999999999909,1.003743751655441
2020-08-14 11:55:00-04:00,454.74,455.75,454.72,455.75,324497,0.0,,,,,453.21036636553873,456.6047233075141,1.0299999999999727,1.0016593511250227
2020-08-14 12:00:00-04:00,455.78,456.7,455.55,456.36,511096,0.0,,,,,453.32523623548747,456.72120204013186,1.1499999999999773,0.9978294164353929
2020-08-14 12:05:00-04:00,456.32,457.13,456.28,457.1,425613,0.0,,,,,453.4699137368696,456.89645898869077,0.8500000000000227,0.9951273374405503
2020-08-14 12:10:00-04:00,457.11,457.49,456.53,456.72,644827,0.0,,,,,453.63492671431055,457.07895337072017,0.9600000000000364,0.9964671773034158
2020-08-14 12:15:00-04:00,456.72,457.39,456.61,456.97,329172,0.0,,,,,453.7747479796144,457.2517244782706,0.7799999999999727,0.9955872257369686
2020-08-14 12:20:00-04:00,456.96,457.68,456.81,457.48,391806,0.0,,,,,453.92873388631784,457.4271840517687,0.8700000000000045,0.9879916657773842
2020-08-14 12:25:00-04:00,457.47,457.87,456.93,457.64,413377,0.0,,,,,454.086059230478,457.59741890398124,0.9399999999999977,0.9879916657773848
2020-08-14 12:30:00-04:00,457.66,458.15,457.39,458.11,309076,0.0,,,,,454.254934541861,457.7954694845545,0.7599999999999909,0.9865538729860637
2020-08-14 12:35:00-04:00,458.11,458.76,457.72,458.73,504574,0.0,458.01,,,458.01,454.46553125215996,458.0062438193589,1.0399999999999636,0.9835118875292751
2020-08-14 12:40:00-04:00,458.73,459.0,458.53,458.74,584065,0.0,,,,,454.67881399004943,458.2744729794199,0.4700000000000273,0.9939810952535882
2020-08-14 12:45:00-04:00,458.74,459.47,458.74,459.01,582468,0.0,,,,,454.91632218147333,458.5372565051894,0.7300000000000182,0.9975502906011728
