Date,Previous Close,Close Price,return,Traded Volume,Deliverable Qty,Next_day_return,Next_day_direction
30-Sep-19,1309.05,1332.25,0.017722776,11549746,5500331,-0.02052918,0
01-Oct-19,1332.25,1304.9,-0.02052918,8192597,2523507,0.004713005,1
03-Oct-19,1304.9,1311.05,0.004713005,6183107,2530785,-0.002250105,0
04-Oct-19,1311.05,1308.1,-0.002250105,6853954,3099523,0.001528935,1
07-Oct-19,1308.1,1310.1,0.001528935,4599818,1835479,0.011182352,1
09-Oct-19,1310.1,1324.75,0.011182352,8040938,3984784,0.028684657,1
10-Oct-19,1324.75,1362.75,0.028684657,16003744,8609946,-0.007448175,0
11-Oct-19,1362.75,1352.6,-0.007448175,7587648,3400105,0.003992311,1
14-Oct-19,1352.6,1358,0.003992311,6123412,3590983,0.004528719,1
15-Oct-19,1358,1364.15,0.004528719,4422075,2043101,0.006011069,1
16-Oct-19,1364.15,1372.35,0.006011069,8870701,5663142,0.017597552,1
17-Oct-19,1372.35,1396.5,0.017597552,7332464,3665912,0.014214107,1
18-Oct-19,1396.5,1416.35,0.014214107,12856410,5482520,-0.001553288,0
22-Oct-19,1416.35,1414.15,-0.001553288,12703054,4811890,-0.015380264,0
23-Oct-19,1414.15,1392.4,-0.015380264,8432964,3936577,0.031636024,1
24-Oct-19,1392.4,1436.45,0.031636024,10351384,3772686,-0.003654844,0
25-Oct-19,1436.45,1431.2,-0.003654844,6190013,1995488,0.002131079,1
27-Oct-19,1431.2,1434.25,0.002131079,1378313,347306,0.022869095,1
29-Oct-19,1434.25,1467.05,0.022869095,11780494,6278189,0.008213762,1
